1,001602,ZW,ZW
2,001612,KE,KE
3,001626,MWE,MWE
4,002602,ZC,ZC
5,004603,ZO,ZO
6,005602,ZS,ZS
7,00639H,CAO-IUS,CAO-IUS
8,00639X,NJJ-IUS,NJJ-IUS
9,00639Y,CAP-IUS,CAP-IUS
10,0063A1,RGO-IUS,RGO-IUS
11,0063A3,NJK-IUS,NJK-IUS
12,0063A4,NJL-IUS,NJL-IUS
13,0063AB,TQD-IUS,TQD-IUS
14,0063AD,TQE-IUS,TQE-IUS
15,0063AR,RGP-IUS,RGP-IUS
16,007601,ZL,ZL
17,02165A,MF,XMF
18,02165E,UV,XUV
19,02165K,SE,XSE
20,021A17,0D,A0D
21,021A19,0F,A0F
22,021A28,GCU,GCU
23,021A35,MTS,MTS
24,021A56,EVC,EVC
25,022651,HO,HO
26,022A13,LT,LT
27,023391,HNG-IUS,HNG-IUS
28,023392,PHH-IUS,PHH-IUS
29,023393,SCL-IUS,SCL-IUS
30,023394,PGE-IUS,PGE-IUS
31,023395,NWR-IUS,NWR-IUS
32,023396,AEC-IUS,AEC-IUS
33,023397,DGD-IUS,DGD-IUS
34,023398,HXS-IUS,HXS-IUS
35,023399,WAH-IUS,WAH-IUS
36,02339E,ALQ-IUS,ALQ-IUS
37,02339Q,CIS-IUS,CIS-IUS
38,02339U,CRI-IUS,CRI-IUS
39,02339W,TCO-IUS,TCO-IUS
40,02339Y,CGB-IUS,CGB-IUS
41,0233A2,DIS-IUS,DIS-IUS
42,0233A3,DOM-IUS,DOM-IUS
43,0233A5,PER-IUS,PER-IUS
44,0233A6,PEI-IUS,PEI-IUS
45,0233A8,SNJ-IUS,SNJ-IUS
46,0233AG,HEN-IUS,HEN-IUS
47,0233AH,HIS-IUS,HIS-IUS
48,0233AM,SHS-IUS,SHS-IUS
49,0233AQ,NMC-IUS,NMC-IUS
50,0233AW,ALI-IUS,ALI-IUS
51,0233AY,MCO-IUS,MCO-IUS
52,0233B1,NTO-IUS,NTO-IUS
53,0233BB,NVE-IUS,NVE-IUS
54,0233BC,NSU-IUS,NSU-IUS
55,0233BD,RSI-IUS,RSI-IUS
56,0233BH,MLN-IUS,MLN-IUS
57,0233BL,PAN-IUS,PAN-IUS
58,0233BW,SIS-IUS,SIS-IUS
59,0233CG,MTI-IUS,MTI-IUS
60,0233CH,TMT-IUS,TMT-IUS
61,0233CU,TPB-IUS,TPB-IUS
62,0233CW,TRZ-IUS,TRZ-IUS
63,0233CZ,TZS-IUS,TZS-IUS
64,0233D4,WAI-IUS,WAI-IUS
65,0233DR,BM2-IUS,BM2-IUS
66,0233DT,YQB-IUS,YQB-IUS
67,023651,NG,NG
68,023A55,HH,XHH
69,023A56,HP,XHP
70,023P02,HUQ-NFX,HUQ-NFX
71,024656,MTF,MTF
72,024658,MFF,MFF
73,025601,ZH,ZH
74,025608,AZ1,AZ1
75,025651,CU,XCU
76,026603,ZM,ZM
77,03265A,UN,XUN
78,03265J,MNC,MNC
79,033661,CT,CT
80,03565B,HB,XHB
81,03565C,NP,NP
82,037642,CPO,CPO
83,039601,ZR,ZR
84,040701,JO,JO
85,050642,CB,CB
86,052641,DC,DC
87,052642,GNF,GNF
88,052645,DY,DY
89,054642,HE,HE
90,057642,LE,LE
91,058643,LBS,LBS
92,061641,GF,GF
93,063642,CSC,CSC
94,064363,PJM-IUS,PJM-IUS
95,064391,MDC-IUS,MDC-IUS
96,064392,MXO-IUS,MXO-IUS
97,064394,ODP-IUS,ODP-IUS
98,064395,SPM-IUS,SPM-IUS
99,06439A,ADO-IUS,ADO-IUS
100,06439B,MSO-IUS,MSO-IUS
101,06439C,ADD-IUS,ADD-IUS
102,06439F,ADB-IUS,ADB-IUS
103,06439K,MCD-IUS,MCD-IUS
104,06439L,CPO-IUS,CPO-IUS
105,06439N,ERH-IUS,ERH-IUS
106,06439R,ERN-IUS,ERN-IUS
107,0643A8,OEN-IUS,OEN-IUS
108,0643AP,ZCB-IUS,ZCB-IUS
109,0643AZ,MCC-IUS,MCC-IUS
110,0643B3,CIN-IUS,CIN-IUS
111,0643BC,NID-IUS,NID-IUS
112,0643BE,NIB-IUS,NIB-IUS
113,0643BF,NOP-IUS,NOP-IUS
114,0643BG,NEP-IUS,NEP-IUS
115,0643BM,NPM-IUS,NPM-IUS
116,0643BS,NIO-IUS,NIO-IUS
117,0643BT,PNL-IUS,PNL-IUS
118,0643BW,NJY-IUS,NJY-IUS
119,0643BX,NJO-IUS,NJO-IUS
120,0643BY,NAY-IUS,NAY-IUS
121,0643BZ,AOP-IUS,AOP-IUS
122,0643C3,NGY-IUS,NGY-IUS
123,0643C4,NGO-IUS,NGO-IUS
124,0643CB,PVM-IUS,PVM-IUS
125,0643CC,OVP-IUS,OVP-IUS
126,0643CJ,BGZ-IUS,BGZ-IUS
127,0643CK,BGY-IUS,BGY-IUS
128,0643CU,JCB-IUS,JCB-IUS
129,0643CZ,PCP-IUS,PCP-IUS
130,0643D1,PCO-IUS,PCO-IUS
131,0643D4,PPF-IUS,PPF-IUS
132,0643D7,PPO-IUS,PPO-IUS
133,0643D8,PPP-IUS,PPP-IUS
134,0643DB,PJD-IUS,PJD-IUS
135,0643DC,PJC-IUS,PJC-IUS
136,0643DF,PMI-IUS,PMI-IUS
137,0643DL,PSA-IUS,PSA-IUS
138,0643DM,PSB-IUS,PSB-IUS
139,064A58,AL1,AL1
140,064AAA,AAA-NOD,AAA-NOD
141,064AAB,AAB-NOD,AAB-NOD
142,064DLW,DLW-NOD,DLW-NOD
143,064DLX,DLX-NOD,DLX-NOD
144,064DPQ,DPQ-NOD,DPQ-NOD
145,064DPR,DPR-NOD,DPR-NOD
146,064EUY,EUY-NOD,EUY-NOD
147,064EUZ,EUZ-NOD,EUZ-NOD
148,064EVG,EVG-NOD,EVG-NOD
149,064EVH,EVH-NOD,EVH-NOD
150,064EWU,EWU-NOD,EWU-NOD
151,064EWV,EWV-NOD,EWV-NOD
152,064EXE,EXE-NOD,EXE-NOD
153,064EXF,EXF-NOD,EXF-NOD
154,064FHK,FHK-NOD,FHK-NOD
155,064FHL,FHL-NOD,FHL-NOD
156,064FKA,FKA-NOD,FKA-NOD
157,064FKB,FKB-NOD,FKB-NOD
158,064FKC,FKC-NOD,FKC-NOD
159,064FKE,FKE-NOD,FKE-NOD
160,064FKF,FKF-NOD,FKF-NOD
161,06665B,7E,7E
162,06665G,1R,1R
163,06665O,B0,XB0
164,06665P,AC0,AC0
165,06665Q,AD0,AD0
166,06665R,A7Q,A7Q
167,06665T,A8K,A8K
168,067411,WBS,WBS
169,067651,CL,CL
170,06765A,CSX,CSX
171,06765T,BZ,XBZ
172,067A75,WCW,WCW
173,073732,CC,CC
174,075651,PA,PA
175,076651,PL,PL
176,080732,SB,SB
177,083731,KC,KC
178,084691,SI,SI
179,085692,HG,HG
180,088691,GC,GC
181,111659,XRB,XRB
182,11165K,RLX,XRL
183,111A31,GCM,GCM
184,111A41,RBB,RBB
185,191693,ALI,ALI
186,192651,HRC,HRC
187,195651,TIO,TIO
188,86465A,ME,XME
189,86465C,RK/RKA,XRK
190,86565C,FO,XFO
191,86565G,BOB,BOB
192,86665A,EN,XEN
193,86665E,MJN,MJN
194,967654,T7K,T7K
195,090741,6C,6C
196,092741,6S,6S
197,096742,6B,6B
198,097741,6J,6J
199,099741,6E,6E
200,232741,6A,6A
201,299741,RP,RP
202,399741,RY,RY
203,089741,6R,6R
204,095741,6M,6M
205,102741,6L,6L
206,112741,6N,6N
207,122741,6Z,6Z
208,12460+,ZD,ZD
209,124603,YM,YM
210,13874+,,CSP
211,138741,SP,SP
212,138748,XAP,XAP
213,13874A,ES,ES
214,13874C,XAF,XAF
215,13874J,XAU,XAU
216,20974+,,CNQ
217,209742,NQ,NQ
218,239742,RTY,RTY
219,23977A,TF,TF
220,240741,NKD,NKD
221,240743,NKY,NKY
222,244041,MFS,MFS
223,244042,MME,MME
224,33874A,EMD,MC
225,43874A,SDA,SDA
226,020601,ZB,ZB
227,020604,UB,XUB
228,042601,ZT,ZT
229,043602,ZN,ZN
230,043607,TN,TN
231,044601,ZF,ZF
232,045601,ZQ,ZQ
233,132741,GE,GE
234,246605,N1U,N1U
235,246606,F1U,F1U
236,098662,DX,DX
237,1170E1,VX,VX-CF
238,221602,AW,XAW
239,0063A2,CAW-IUS,CAW-IUS
240,0233AN,NMI-IUS,NMI-IUS
241,02365U,LNE,XLN
242,023A84,A6J,A6J
243,064396,SQP-IUS,SQP-IUS
244,0643CL,P1X-IUS,P1X-IUS
245,0643CN,CEP-IUS,CEP-IUS
246,0643D5,PCQ-IUS,PCQ-IUS
247,0643F2,PAV-IUS,PAV-IUS
248,0643F3,PAW-IUS,PAW-IUS
249,06665W,A8O,A8O
250,067657,BPC,BPC
251,06765B,LCE,XLC
252,06765C,AAO,AAO
253,06765Z,ABV,ABV
254,067A28,WAY,WAY
255,1330E1,XBT-CF,XBT-CF
256,0063BD,NJ1-IUS,NJ1-IUS
257,0233BA,DEM-IUS,DEM-IUS
258,0233BQ,EIS-IUS,EIS-IUS
259,0233EB,REX-IUS,REX-IUS
260,023P01,HUQ-NFX,HUQ-NFX
261,023P03,NPQ-NFX,NPQ-NFX
262,0676A5,HTA,HTA
263,111A11,N1B,N1B
264,13874I,XAK,XAK
